ANSI Standard Chain Code,,Pitch P (mm),Inner Width W (mm),Roller Diameter D (mm),Pin Diameter d (mm),Pin Length L1 (mm),Connecting Link Pin Length L2 (mm),Plate Thickness T (mm),Center Distance for Double Strand C (mm),"Weight
kg/m"
25,1R,6.35,3.18,3.30,2.29,8.64,9.40,0.76,0.00,0.13
,2R,6.35,3.18,3.30,2.29,14.99,16.00,0.76,6.40,0.24
,3R,6.35,3.18,3.30,2.29,21.34,22.35,0.76,6.40,0.37
35,1R,9.53,4.23,5.08,3.58,12.70,14.22,1.27,0.00,0.31
,2R,9.53,4.23,5.08,3.58,22.86,24.38,1.27,10.13,0.67
,3R,9.53,4.23,5.08,3.58,33.27,34.54,1.27,10.13,1.01
40,1R,12.70,7.94,7.92,3.96,17.02,18.29,1.52,0.00,0.61
,2R,12.70,7.94,7.92,3.96,31.50,32.77,1.52,14.38,1.19
,3R,12.70,7.94,7.92,3.96,45.72,46.99,1.52,14.38,1.79
,4R,12.70,7.94,7.92,3.96,60.20,61.47,1.52,14.38,2.38
41,1R,12.70,6.35,7.77,3.58,14.48,16.51,1.27,0.00,0.39
50,1R,15.88,9.53,10.16,5.08,21.08,22.61,2.03,0.00,1.01
,2R,15.88,9.53,10.16,5.08,39.37,40.64,2.03,18.11,1.96
,3R,15.88,9.53,10.16,5.08,57.40,58.67,2.03,18.11,2.95
,4R,15.88,9.53,10.16,5.08,75.44,76.96,2.03,18.11,3.93
,5R,15.88,9.53,10.16,5.08,93.73,95.25,2.03,18.11,4.91
60,1R,19.05,12.70,11.91,5.94,26.42,28.19,2.39,0.00,1.47
,2R,19.05,12.70,11.91,5.94,49.28,51.05,2.39,22.78,2.90
,3R,19.05,12.70,11.91,5.94,72.14,73.91,2.39,22.78,4.29
,4R,19.05,12.70,11.91,5.94,95.00,96.77,2.39,22.78,5.80
,5R,19.05,12.70,11.91,5.94,117.86,119.63,2.39,22.78,7.40
,6R,19.05,12.70,11.91,5.94,140.46,139.70,2.39,22.78,8.87
80,1R,25.40,15.88,15.88,7.92,33.53,36.58,3.18,0.00,2.57
,2R,25.40,15.88,15.88,7.92,62.74,65.79,3.18,28.83,5.02
,3R,25.40,15.88,15.88,7.92,91.95,95.00,3.18,28.83,7.47
,4R,25.40,15.88,15.88,7.92,121.67,124.46,3.18,28.83,10.02
,5R,25.40,15.88,15.88,7.92,150.88,153.92,3.18,28.83,12.50
,6R,25.40,15.88,15.88,7.92,180.34,183.39,3.18,28.83,14.99
100,1R,31.75,19.05,19.05,9.53,40.89,43.94,3.96,0.00,3.74
,2R,31.75,19.05,19.05,9.53,76.71,79.76,3.96,35.76,7.31
,3R,31.75,19.05,19.05,9.53,112.52,115.82,3.96,35.76,11.01
,4R,31.75,19.05,19.05,9.53,148.34,151.64,3.96,35.76,14.58
,5R,31.75,19.05,19.05,9.53,184.15,187.45,3.96,35.76,18.16
,6R,31.75,19.05,19.05,9.53,219.96,223.01,3.96,35.76,21.73
120,1R,38.10,25.40,22.23,11.10,50.80,54.36,4.75,0.00,5.49
,2R,38.10,25.40,22.23,11.10,96.27,99.82,4.75,45.44,10.94
,3R,38.10,25.40,22.23,11.10,141.73,145.29,4.75,45.44,16.52
,4R,38.10,25.40,22.23,11.10,187.45,191.01,4.75,45.44,21.88
,5R,38.10,25.40,22.23,11.10,232.92,236.47,4.75,45.44,27.43
,6R,38.10,25.40,22.23,11.10,278.38,281.94,4.75,45.44,32.90
140,1R,44.45,25.40,25.40,12.70,54.36,58.67,5.56,0.00,7.44
,2R,44.45,25.40,25.40,12.70,103.38,107.70,5.56,48.87,14.36
,3R,44.45,25.40,25.40,12.70,152.40,156.46,5.56,48.87,21.28
,4R,44.45,25.40,25.40,12.70,201.42,205.49,5.56,48.87,28.20
160,1R,50.80,31.75,28.58,14.27,64.52,69.34,6.35,0.00,9.72
,2R,50.80,31.75,28.58,14.27,123.19,128.02,6.35,58.55,19.09
,3R,50.80,31.75,28.58,14.27,181.86,186.69,6.35,58.55,28.32
,4R,50.80,31.75,28.58,14.27,240.54,245.36,6.35,58.55,38.10
180,1R,57.15,35.72,35.71,17.45,73.15,80.01,7.14,0.00,13.48
,2R,57.15,35.72,35.71,17.45,139.19,146.05,7.14,65.84,26.30
,3R,57.15,35.72,35.71,17.45,204.98,211.84,7.14,65.84,38.99
200,1R,63.50,38.10,39.67,19.84,79.25,87.38,7.92,0.00,15.85
,2R,63.50,38.10,39.67,19.84,150.88,159.00,7.92,71.55,32.00
,3R,63.50,38.10,39.67,19.84,222.50,230.63,7.92,71.55,48.07
,4R,63.50,38.10,39.67,19.84,294.13,302.26,7.92,71.55,63.84
240,1R,76.20,47.63,47.63,23.80,95.50,105.41,9.53,0.00,24.50
,2R,76.20,47.63,47.63,23.80,183.39,193.29,9.53,87.83,48.22
,3R,76.20,47.63,47.63,23.80,271.78,281.69,9.53,87.83,72.92
,4R,76.20,47.63,47.63,23.80,359.16,369.32,9.53,87.83,95.24
